# 來源:票 84 身分改寫,由演練 B2(乾淨 clone,參數與本尊逐位元組相同)產出的 git-filter-repo commit-map。
# 產生時間:2026-08-27;本尊改寫於同日,HEAD 落在 e769e7bfc2caeae7189b4f86ca37ead71911cf3c(與 B2 相同,故本表對本尊逐條適用)。
# 適用範圍:key(old 欄)是【票 84 改寫前、票 39 改寫後】那一期的 sha —— 也就是 docs/ 散文裡現在寫著的那些。236 條,涵蓋當時全部 236 個 commit。
old                                      new
7543b702f1874e90d3f6945fd1a3eefbd052552e 0a3e4a7d6d42de618e36398ee89e5058c01e3a61
7558e6059fdd98a61fbd58e3ec6ef5ce591dcd04 a4268be2f319216c29d021e1144acc14e2e3909d
7710da719f911309001a0665756cb18c709a4497 7311d7236673806e5a14a10a1f1c5f900d61aa83
781403e85a28ddc7c9a8fc1f0a0d2a87d174fa48 73d21c92173fbae71390bbd40900dcc0f173c20c
796d900a92df13a56bf8ce7b2a5ff0f6b9783389 7de0e0959fc4f44d37f3abd1320e7bbaa991de52
79929cb040e6ea909981a49a0b4685e692ccf056 c474141e8d3ced66e4f5cff445ee1492fff08b15
7a989efb663085f19df3f52d74bfcea42583a74f 5472067b53f20170e0d3d085d32b6924e21afde8
7de883e700c30cfebc649b0f82af8b95c52960dc 20859ce1249999f96f0b45ae9eb5b95b05b1cc77
80425dfabe83b0b967d51c37ea296f36639c1ab1 6769a4ac8f3c9401767d0db3207bedb73b360469
84dfed8fac8d0fedc47bfdd7d5ea6f69344f9843 8b79a2dd402ba52b071b538c5bab53a6cbc0aa38
8539dc6d5c6d2adca4ed38b73f18481782faacd9 c8cadc5001f49c28fedd88fdff8e6f614206b0c9
85528300259f70b905221ed46a4997c613459ba5 71f77277cfd33273b609612ab1cba60fc09249ae
8723500f7f749d16fb6216ca91db76a6ab873ddc 06838ea013fa382c14c9a3d747cd03c0d57944fd
872d060dfc811e147497112764be8a8d165c30ee f7196bf94f3c506ed0b454b12d7dfb6fa8d959ed
885294fd3afcfdad3ba3186bd0c341831da823d1 9f7e6840d1bb8ad1a3704744a4b534eef05c9764
8875eca40cc3747acbf5414d366d3023175937fe b81b68fac7acf5055f4c88a93090a11b03e8beb2
88cc5216d31b357d58e56efad37efa1c2616bb2a aaa0a6f19af92dc85bde7f92120586c1fbe6e152
8a4b639ac36af684fbc050eb610fcfaed337ce3e 0a6cc0b061551c4175624265f2db6fa18f4e0d22
8af42b931f868607fe137b599ccdb73470e6d496 f59b7503cc3b077665d4d6227a58d0c7779985b0
8b441ba8dee4ef57d99710c4e42ea60576fd46d4 8307aaf8eec4b20cb2427c3de2dfeb405312c78a
8b726841868343e425a95c48a9ee510b73f8c3b1 d751a4b33a156d23d46e2aab4acd118196f9c0e3
8bdd2847a64e50a6527adeaf55b319165eea6033 7ee915009284f674954d110d792b9cd3791d8549
8de0b92ff53db90b7fc4fd2841b7b29e67c5b47c da689c1947703c75e8c35350833a67a6fc69f61a
8f639a7c684481dfc3fc83a299ccaa10ae3e048c 7fb10d7d4644000ee38c57daf2fd2a2209135992
936530ff51aebbaf160c72ce8a9b95adf4f9802c 0bed4a4ea7be66d47103cc92bc1c52faa26b6f5b
944ee5a8a799e0cbd4d08c26334f7c2bb4bba9ef d6c04cbc27e5febf2a7e88e373dded9c2147df7b
9516ab342cfa1da8188ea96f7f264f131f004cc4 e0fce09695ac7b534cd92fb02353e438d860c241
9770b120035da7c0f53f9d115623c925b3ee9cb9 fa5618813b6945486f8d507e497f7f8ee647c726
97817e93df5f1ef521839e40d61153840ced4396 4b3647de05acadc43d85bb124d2c5513a03e8ba6
